🏥 MEDICAL STREAM — Complete A to Z Career Guide (12th Biology → All Paths),,,,,,,,
Covers: Pure Medicine • Dental • Ayush • Nursing • Allied Health • Pharmacy • Paramedical • Research • Zoology/Botany/Life Sciences • Public Health • Vet • Defence,,,,,,,,
🩺 SECTION 1 — PURE MEDICINE | NEET-UG Required,,,,,,,,
Career / Course,Category,Duration,Entrance Exam,Realistic Cutoff,Govt. Cost (₹/yr),Private Cost (₹/yr),Avg Monthly Salary,Employment Rate
MBBS (Bachelor of Medicine & Surgery),Pure Medicine,5.5 yrs,NEET-UG,"Govt: 600+ / 720
Private: 550+ / 720
Deemed: 500+",₹10K–80K,₹10L–25L,₹80K–2L+,98%
MD / MS (Post Graduate Medicine),PG Medicine,3 yrs after MBBS,NEET-PG,Top 10–20% of MBBS passouts,₹30K–1L,₹5L–20L,₹1.5L–10L+,99%
DNB (Diplomate National Board),PG Medicine,3 yrs after MBBS,NEET-PG / DNB CET,Similar to MD/MS,₹50K–2L,₹3L–15L,₹1.5L–8L,98%
DM / MCh (Super Speciality),Super Spec.,3 yrs after MD/MS,NEET-SS,Top 5% of MD/MS,₹50K–1L,₹5L–20L,₹3L–20L+,99%
MBBS + MPH (Public Health),Public Health,5.5 + 2 yrs,NEET-UG then merit,600+ NEET,₹10K–80K + ₹50K–2L,₹10L–25L + ₹1L–3L,₹1L–3L,92%
🦷 SECTION 2 — DENTAL | NEET-UG Required,,,,,,,,
Career / Course,Category,Duration,Entrance Exam,Realistic Cutoff,Govt. Cost (₹/yr),Private Cost (₹/yr),Avg Monthly Salary,Employment Rate
BDS (Bachelor of Dental Surgery),Dentistry,5 yrs,NEET-UG,450–550 / 720,₹20K–1L,₹2L–8L,₹40K–80K,82%
MDS (Master of Dental Surgery),PG Dental,3 yrs after BDS,NEET-MDS,Top 20% BDS,₹50K–2L,₹3L–10L,₹80K–3L,88%
Diploma in Dental Hygiene,Dental Allied,2 yrs,State Board,50%+ in 12th,₹10K–30K,₹30K–80K,₹18K–35K,80%
🌿 SECTION 3 — AYUSH (Alternative Medicine) | NEET-UG Required,,,,,,,,
Career / Course,Category,Duration,Entrance Exam,Realistic Cutoff,Govt. Cost (₹/yr),Private Cost (₹/yr),Avg Monthly Salary,Employment Rate
BAMS (Bachelor of Ayurvedic Medicine & Surgery),Ayurveda,5.5 yrs,NEET-UG,350–450 / 720,₹10K–50K,₹50K–2L,₹30K–60K,78%
BHMS (Bachelor of Homeopathic Medicine),Homeopathy,5.5 yrs,NEET-UG,300–400 / 720,₹10K–40K,₹40K–1.5L,₹25K–50K,72%
BUMS (Bachelor of Unani Medicine),Unani,5.5 yrs,NEET-UG,280–380 / 720,₹10K–40K,₹40K–1.5L,₹22K–45K,68%
BNYS (Bachelor of Naturopathy & Yoga),Naturopathy,5.5 yrs,NEET-UG / State,250–350 / 720,₹15K–50K,₹50K–1.5L,₹20K–45K,70%
BSMS (Bachelor of Siddha Medicine),Siddha,5.5 yrs,NEET-UG,280–380 / 720,₹10K–40K,₹40K–1.5L,₹20K–40K,65%
MD (Ayurveda / Homeopathy / Unani) — PG,AYUSH PG,3 yrs after BAMS/BHMS/BUMS,AIAPGET,Merit based,₹20K–80K,₹1L–4L,₹50K–1.5L,75%
💉 SECTION 4 — NURSING,,,,,,,,
Career / Course,Category,Duration,Entrance Exam,Realistic Cutoff,Govt. Cost (₹/yr),Private Cost (₹/yr),Avg Monthly Salary,Employment Rate
B.Sc Nursing (4 yr),Nursing,4 yrs,NEET-UG / State CET / AIIMS,200–350 NEET / 60% 12th,₹10K–50K,₹80K–2.5L,₹25K–60K,92%
B.Sc Nursing (Post Basic — for ANMs),Nursing PB,2 yrs,State CET,ANM + experience,₹10K–30K,₹40K–1L,₹30K–65K,90%
M.Sc Nursing,PG Nursing,2 yrs,State / University CET,B.Sc Nursing + merit,₹20K–80K,₹80K–2L,₹45K–1.2L,93%
ANM (Auxiliary Nurse Midwife),Nursing,2 yrs,State Board,50%+ in 12th,₹5K–15K,₹20K–50K,₹15K–28K,88%
GNM (General Nursing & Midwifery),Nursing,3 yrs,State Board / Merit,50–60% in 12th,₹5K–20K,₹30K–80K,₹18K–35K,87%
Ph.D Nursing (Research),Research,3–5 yrs,University entrance,M.Sc Nursing + NET,₹20K–50K,₹50K–1.5L,₹60K–1.5L,85%
💊 SECTION 5 — PHARMACY,,,,,,,,
Career / Course,Category,Duration,Entrance Exam,Realistic Cutoff,Govt. Cost (₹/yr),Private Cost (₹/yr),Avg Monthly Salary,Employment Rate
